Sl.No.,,SOUTH - WEST MONSOON,,,,,,,,
,,,,,,,,,,
,,JUNE '23,,,JULY'23,,,AUG '23,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,Actual,Normal,% Dev.
29,Theni,226.5,171,32.5,1094.5,802.7,36.4,,,
30,Dindigul,317.2,171.7,84.7,1171.8,956.5,22.5,,,
31,Ramanathapuram,165.3,107.4,53.9,975.7,817.8,19.3,,,
32,Virudhunagar,250.7,147.2,70.3,1242.7,773.9,60.6,,,
33,Sivagangai,200.7,131.2,53,987,895.9,10.2,,,
34,Tirunelveli,165,130.2,26.7,1872.2,795.8,135.3,,,
35,Tenkasi,225.2,179.6,25.4,1280.3,872.5,46.7,,,
36,Thoothukudi,118.9,106.8,11.3,801.1,612.2,30.9,,,
37,The Nilgiris,267.1,212.9,25.5,1608.7,1595.7,0.8,,,
38,Kanniyakumari,238.2,272.2,-12.5,1635.9,1338.3,22.2,,,
State Average,,189.4,120.1,57.7,1117.9,965.6,15.8,,,
,,,,,,,,,,
